,0,1,2,3
0,Annual Mean Value Weighted Returns (%),Annual Mean Value Weighted Returns (%),Annual Mean Value Weighted Returns (%),Annual Mean Value Weighted Returns (%)
1,Period,Small Firms,Large Firms,Size Premium
2,1927-1979,18.81,10.51,8.30
3,1927-2020,16.64,11.79,4.85
4,1980-1989,15.01,17.79,-2.78
5,1990-1999,15.96,19.31,-3.35
6,2000-2009,10.29,1.25,9.04
7,2010-2019,13.35,14.36,-1.01
8,1980-2020,13.84,13.43,0.40
