,United States,Europe,Rest of the World (ROW)
0,,Portugal,Qatar
1,,Russian Federation,Saudi Arabia
2,,Slovenia,Singapore
3,,Spain,South Africa
4,,Sweden,South Korea
5,,Switzerland,Swaziland
6,,United Kingdom,Taiwan
7,,,Thailand
8,,,Turkey
9,,,United Arab Emirates
10,,,Vietnam
